Cosine.FATHER_FORENAME,Cosine.FATHER_SURNAME,Cosine.MOTHER_FORENAME,Cosine.MOTHER_MAIDEN_SURNAME,Cosine.PARENTS_PLACE_OF_MARRIAGE,Cosine.PARENTS_DAY_OF_MARRIAGE,Cosine.PARENTS_MONTH_OF_MARRIAGE,Cosine.PARENTS_YEAR_OF_MARRIAGE,Damerau-Levenshtein.FATHER_FORENAME,Damerau-Levenshtein.FATHER_SURNAME,Damerau-Levenshtein.MOTHER_FORENAME,Damerau-Levenshtein.MOTHER_MAIDEN_SURNAME,Damerau-Levenshtein.PARENTS_PLACE_OF_MARRIAGE,Damerau-Levenshtein.PARENTS_DAY_OF_MARRIAGE,Damerau-Levenshtein.PARENTS_MONTH_OF_MARRIAGE,Damerau-Levenshtein.PARENTS_YEAR_OF_MARRIAGE,Jaccard.FATHER_FORENAME,Jaccard.FATHER_SURNAME,Jaccard.MOTHER_FORENAME,Jaccard.MOTHER_MAIDEN_SURNAME,Jaccard.PARENTS_PLACE_OF_MARRIAGE,Jaccard.PARENTS_DAY_OF_MARRIAGE,Jaccard.PARENTS_MONTH_OF_MARRIAGE,Jaccard.PARENTS_YEAR_OF_MARRIAGE,JensenShannon.FATHER_FORENAME,JensenShannon.FATHER_SURNAME,JensenShannon.MOTHER_FORENAME,JensenShannon.MOTHER_MAIDEN_SURNAME,JensenShannon.PARENTS_PLACE_OF_MARRIAGE,JensenShannon.PARENTS_DAY_OF_MARRIAGE,JensenShannon.PARENTS_MONTH_OF_MARRIAGE,JensenShannon.PARENTS_YEAR_OF_MARRIAGE,Levenshtein.FATHER_FORENAME,Levenshtein.FATHER_SURNAME,Levenshtein.MOTHER_FORENAME,Levenshtein.MOTHER_MAIDEN_SURNAME,Levenshtein.PARENTS_PLACE_OF_MARRIAGE,Levenshtein.PARENTS_DAY_OF_MARRIAGE,Levenshtein.PARENTS_MONTH_OF_MARRIAGE,Levenshtein.PARENTS_YEAR_OF_MARRIAGE,SED.FATHER_FORENAME,SED.FATHER_SURNAME,SED.MOTHER_FORENAME,SED.MOTHER_MAIDEN_SURNAME,SED.PARENTS_PLACE_OF_MARRIAGE,SED.PARENTS_DAY_OF_MARRIAGE,SED.PARENTS_MONTH_OF_MARRIAGE,SED.PARENTS_YEAR_OF_MARRIAGE,BagDistance.FATHER_FORENAME,BagDistance.FATHER_SURNAME,BagDistance.MOTHER_FORENAME,BagDistance.MOTHER_MAIDEN_SURNAME,BagDistance.PARENTS_PLACE_OF_MARRIAGE,BagDistance.PARENTS_DAY_OF_MARRIAGE,BagDistance.PARENTS_MONTH_OF_MARRIAGE,BagDistance.PARENTS_YEAR_OF_MARRIAGE,Dice.FATHER_FORENAME,Dice.FATHER_SURNAME,Dice.MOTHER_FORENAME,Dice.MOTHER_MAIDEN_SURNAME,Dice.PARENTS_PLACE_OF_MARRIAGE,Dice.PARENTS_DAY_OF_MARRIAGE,Dice.PARENTS_MONTH_OF_MARRIAGE,Dice.PARENTS_YEAR_OF_MARRIAGE,Jaro.FATHER_FORENAME,Jaro.FATHER_SURNAME,Jaro.MOTHER_FORENAME,Jaro.MOTHER_MAIDEN_SURNAME,Jaro.PARENTS_PLACE_OF_MARRIAGE,Jaro.PARENTS_DAY_OF_MARRIAGE,Jaro.PARENTS_MONTH_OF_MARRIAGE,Jaro.PARENTS_YEAR_OF_MARRIAGE,JaroWinkler.FATHER_FORENAME,JaroWinkler.FATHER_SURNAME,JaroWinkler.MOTHER_FORENAME,JaroWinkler.MOTHER_MAIDEN_SURNAME,JaroWinkler.PARENTS_PLACE_OF_MARRIAGE,JaroWinkler.PARENTS_DAY_OF_MARRIAGE,JaroWinkler.PARENTS_MONTH_OF_MARRIAGE,JaroWinkler.PARENTS_YEAR_OF_MARRIAGE,LongestCommonSubstring.FATHER_FORENAME,LongestCommonSubstring.FATHER_SURNAME,LongestCommonSubstring.MOTHER_FORENAME,LongestCommonSubstring.MOTHER_MAIDEN_SURNAME,LongestCommonSubstring.PARENTS_PLACE_OF_MARRIAGE,LongestCommonSubstring.PARENTS_DAY_OF_MARRIAGE,LongestCommonSubstring.PARENTS_MONTH_OF_MARRIAGE,LongestCommonSubstring.PARENTS_YEAR_OF_MARRIAGE,NeedlemanWunsch.FATHER_FORENAME,NeedlemanWunsch.FATHER_SURNAME,NeedlemanWunsch.MOTHER_FORENAME,NeedlemanWunsch.MOTHER_MAIDEN_SURNAME,NeedlemanWunsch.PARENTS_PLACE_OF_MARRIAGE,NeedlemanWunsch.PARENTS_DAY_OF_MARRIAGE,NeedlemanWunsch.PARENTS_MONTH_OF_MARRIAGE,NeedlemanWunsch.PARENTS_YEAR_OF_MARRIAGE,SmithWaterman.FATHER_FORENAME,SmithWaterman.FATHER_SURNAME,SmithWaterman.MOTHER_FORENAME,SmithWaterman.MOTHER_MAIDEN_SURNAME,SmithWaterman.PARENTS_PLACE_OF_MARRIAGE,SmithWaterman.PARENTS_DAY_OF_MARRIAGE,SmithWaterman.PARENTS_MONTH_OF_MARRIAGE,SmithWaterman.PARENTS_YEAR_OF_MARRIAGE,Metaphone-Levenshtein.FATHER_FORENAME,Metaphone-Levenshtein.FATHER_SURNAME,Metaphone-Levenshtein.MOTHER_FORENAME,Metaphone-Levenshtein.MOTHER_MAIDEN_SURNAME,Metaphone-Levenshtein.PARENTS_PLACE_OF_MARRIAGE,Metaphone-Levenshtein.PARENTS_DAY_OF_MARRIAGE,Metaphone-Levenshtein.PARENTS_MONTH_OF_MARRIAGE,Metaphone-Levenshtein.PARENTS_YEAR_OF_MARRIAGE,NYSIIS-Levenshtein.FATHER_FORENAME,NYSIIS-Levenshtein.FATHER_SURNAME,NYSIIS-Levenshtein.MOTHER_FORENAME,NYSIIS-Levenshtein.MOTHER_MAIDEN_SURNAME,NYSIIS-Levenshtein.PARENTS_PLACE_OF_MARRIAGE,NYSIIS-Levenshtein.PARENTS_DAY_OF_MARRIAGE,NYSIIS-Levenshtein.PARENTS_MONTH_OF_MARRIAGE,NYSIIS-Levenshtein.PARENTS_YEAR_OF_MARRIAGE,link_non-link,
0.901,0.853,0.861,1,1,1,0.784,0.738,0.857,0.933,0.917,0.9,0.909,0.667,0.5,0.667,0.917,0.88,0.88,1,1,1,0.8,0.75,0.845,0.694,0.757,0.915,1,0.845,0.681,0.734,0.857,0.933,0.917,0.9,0.909,0.667,0.5,0.667,0.805,0.638,0.705,0.89,1,0.805,0.624,0.68,0.667,0.611,0.533,0.8,1,0.5,0.5,0.5,0.846,0.786,0.786,1,1,1,0.667,0.6,1,0.388,0.435,0.526,1,1,0.333,0.333,1,0.388,0.435,0.526,1,1,0.333,0.267,0.875,0.947,0.957,0.944,0.933,0.667,0.667,0.8,0.5,0.5,0.4,0.5,0.5,0.5,0.25,0.25,0.6,0.5,0.818,0.889,1,0.5,0.5,0.5,0.8,0.667,0.75,0.75,1,0,0,0,0.8,0.8,0.833,0.833,1,0,0,0,-1
0,0,0,0.195,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.137,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.918,1,1,1,1,0.738,0.8,0.875,0.938,0.889,0.909,0.667,0.667,0.667,1,1,0.931,1,1,1,1,0.75,0.901,0.894,0.8,0.863,1,1,1,0.734,0.8,0.875,0.938,0.889,0.909,0.667,0.667,0.667,0.873,0.864,0.754,0.826,1,1,1,0.68,0.8,0.75,0.533,0.667,1,1,1,0.5,1,1,0.871,1,1,1,1,0.6,0.517,0.488,0.529,0.542,1,1,1,0.333,0.517,0.488,0.529,0.542,1,1,1,0.267,0.875,0.929,0.962,0.938,0.933,0.8,0.8,0.8,0.4,0.438,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.857,0.857,0.875,1,1,1,0.5,0.75,0.667,0.8,0.8,1,0,0,0,0.8,0.833,0.833,0.857,1,0,0,0,-1
0,0,0.366,0.195,0,0,0,0,0,0,0.667,0.5,0,0,0,0,0,0,0.278,0.091,0,0,0,0,0,0,0.326,0.154,0,0,0,0,0,0,0.667,0.5,0,0,0,0,0,0,0.286,0.137,0,0,0,0,0,0,0.133,0.1,0,0,0,0,0,0,0.161,0.048,0,0,0,0,0,0,0.068,0.033,0,0,0,0,0,0,0.041,0.02,0,0,0,0,0,0,0.75,0.875,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.071,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.784,0.599,0.855,1,1,1,1,0.738,0.667,0.75,0.917,0.857,0.909,0.667,0.667,0.667,0.8,0.583,0.875,1,1,1,1,0.75,0.612,0.574,0.788,0.849,1,1,1,0.62,0.667,0.75,0.917,0.857,0.909,0.667,0.667,0.667,0.554,0.517,0.74,0.81,1,1,1,0.562,0.2,0.375,0.667,0.667,1,1,1,0.25,0.667,0.412,0.778,1,1,1,1,0.6,0.267,0.22,0.444,0.356,1,1,1,0.167,0.213,0.22,0.444,0.356,1,1,1,0.133,0.857,0.833,0.955,0.923,0.933,0.8,0.8,0.8,0.2,0.188,0.467,0.5,0.5,0.5,0.5,0.25,0.52,0.286,0.8,0.72,1,1,1,0.5,0.667,0.75,0.8,0.75,1,0,0,0,0.667,0.75,0.857,0.833,1,0,0,0,-1
0,0.433,0,0.195,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.364,0,0.091,0,0,0,0,0,0.4,0,0.154,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.353,0,0.137,0,0,0,0,0,0.125,0,0.1,0,0,0,0,0,0.222,0,0.048,0,0,0,0,0,0.083,0,0.033,0,0,0,0,0,0.083,0,0.02,0,0,0,0,0,0.667,0,0.875,0,0,0,0,0,0.062,0,0.1,0,0,0,0,0,0.125,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.748,0.908,0.933,1,1,0.784,0.738,0.8,0.857,0.917,0.875,0.909,0.667,0.5,0.667,1,0.765,0.923,0.944,1,1,0.8,0.75,0.901,0.653,0.792,0.84,1,0.845,0.681,0.734,0.8,0.857,0.917,0.875,0.909,0.667,0.5,0.667,0.873,0.595,0.745,0.8,1,0.805,0.624,0.68,0.8,0.455,0.6,0.667,1,0.5,0.5,0.5,1,0.619,0.857,0.895,1,1,0.667,0.6,0.517,0.307,0.504,0.431,1,1,0.333,0.333,0.517,0.307,0.504,0.431,1,1,0.3,0.267,0.875,0.917,0.957,0.929,0.933,0.667,0.667,0.8,0.4,0.318,0.433,0.5,0.5,0.5,0.25,0.25,0.75,0.5,0.818,0.7,1,0.5,0.5,0.5,0.75,0.75,0.75,0.667,1,0,0,0,0.8,0.833,0.833,0.833,1,0,0,0,-1
0,0,0,0.195,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.137,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.849,0.848,1,1,0.784,0.784,0.738,0.833,0.933,0.917,0.9,0.909,0.5,0.5,0.667,1,0.875,0.87,1,1,0.8,0.8,0.75,0.935,0.682,0.775,0.823,1,0.756,0.681,0.693,0.833,0.933,0.917,0.9,0.909,0.5,0.5,0.667,0.916,0.625,0.725,0.78,1,0.704,0.624,0.637,0.8,0.611,0.667,0.6,1,0.5,0.5,0.5,1,0.778,0.769,1,1,0.667,0.667,0.6,1,0.366,0.389,0.385,1,0.333,0.333,0.333,1,0.366,0.389,0.385,1,0.3,0.3,0.267,0.889,0.947,0.955,0.944,0.933,0.667,0.667,0.8,0.5,0.472,0.433,0.45,0.5,0.25,0.25,0.25,0.8,0.5,0.8,0.889,1,0.5,0.5,0.5,0.75,0.75,0.8,0.8,1,0,0,0,0.8,0.75,0.833,0.857,1,0,0,0,-1
1,1,0.596,1,0,1,0,0.738,0.833,0.889,0.909,0.857,0,0.667,0,0.667,1,1,0.579,1,0,1,0,0.75,1,0.89,0.48,1,0,1,0,0.62,0.833,0.889,0.909,0.857,0,0.667,0,0.667,1,0.859,0.427,1,0,1,0,0.562,1,0.778,0.231,1,0,1,0,0.25,1,1,0.407,1,0,1,0,0.6,1,0.574,0.533,1,0,1,0,0.167,1,0.574,0.533,1,0,1,0,0.133,0.9,0.929,0.929,0.917,0,0.8,0,0.8,0.5,0.444,0.385,0.5,0,0.5,0,0.25,1,0.833,0.5,1,0,1,0,0.5,0.75,0.8,0.8,0.8,0,0,0,0,0.8,0.857,0.75,0.857,0,0,0,0,-1
